"Provincia","Provincia_id","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Pallasca","0215",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Gran Chimu","1311",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Lucanas","0506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,2
"Chachapoyas","0101",2,1,0,2,0,2,0,0,4,3,0,3,2,0,0,0,0,1,1,0,1,0,3,4
"Huarmey","0211",0,1,1,1,1,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0
"Lampa","2107",0,0,0,0,0,3,0,0,0,3,0,2,2,1,2,2,0,0,1,0,0,0,0,10
"Huancane","2106",1,0,0,0,0,1,0,2,3,0,0,2,0,4,0,0,0,0,0,0,0,0,0,6
"Chucuito","2104",0,2,0,0,1,1,0,1,1,5,2,54,2,0,0,1,0,3,3,0,0,1,7,29
"El Collao","2105",1,1,1,0,16,1,0,2,1,6,1,1,2,4,3,0,0,1,1,0,0,1,5,25
"Azangaro","2102",1,0,0,0,5,10,2,3,1,2,0,1,0,1,1,0,0,0,0,2,0,0,3,5
"Melgar","2108",1,0,0,0,3,2,1,3,1,8,0,4,2,0,2,0,2,1,1,0,0,1,3,7
"Sandia","2112",0,0,0,0,0,1,0,4,7,2,4,0,0,0,0,0,0,0,0,0,0,1,0,3
"Huaytara","0906",0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Caylloma","0405",0,1,0,0,1,10,1,1,1,2,0,2,0,1,0,3,0,2,2,1,0,0,5,5
"Urubamba","0813",1,1,1,2,1,6,0,2,1,5,3,3,4,0,0,2,7,5,0,0,2,3,9,8
"Zarumilla","2403",0,0,1,2,2,2,2,2,0,3,0,3,0,1,0,0,0,0,0,0,0,0,2,2
"Datem Del Marañon","1607",0,0,1,0,0,1,3,2,14,10,0,3,1,2,7,18,3,20,5,9,2,15,0,1
"Carabaya","2103",0,1,0,0,6,1,0,1,1,5,3,10,0,0,0,0,0,1,1,7,0,3,1,9
"Palpa","1104",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"General Sanchez Cerro","1802",0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mariscal Ramon Castilla","1604",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Huari","0210",0,1,0,0,0,3,2,2,4,2,0,1,3,1,3,0,0,0,0,0,0,5,1,1
"El Dorado","2203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anta","0803",0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,1,2,7
"Contralmirante Villar","2402",0,1,0,0,1,0,0,0,1,3,0,3,2,5,1,2,0,0,0,0,0,0,0,0
"Pataz","1308",0,0,0,0,0,0,0,0,1,11,3,0,5,10,0,0,1,0,0,0,0,0,0,0
"Condorcanqui","0104",0,0,0,0,0,2,1,0,5,9,0,2,0,0,0,0,0,0,0,0,2,0,1,0
"Acobamba","0902",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Sechura","2008",0,1,1,0,1,0,0,1,0,0,1,2,4,1,1,0,0,0,0,0,1,0,2,0
"Huanta","0504",0,0,1,0,3,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,1
"Utcubamba","0107",0,0,0,2,0,1,1,1,7,17,0,0,0,1,1,0,0,0,0,0,0,0,3,1
"Mariscal Caceres","2206",0,0,0,0,0,0,0,0,7,2,1,0,0,1,5,1,2,0,0,0,0,0,0,0
"Requena","1605",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,1,2,4,0,3
"Dos De Mayo","1003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Huallaga","2204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Picota","2207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chupaca","1209",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"Oxapampa","1903",0,0,0,0,0,0,0,0,1,4,0,1,0,3,2,2,0,3,0,0,0,1,0,0
"Yauyos","1510",0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Condesuyos","0406",0,1,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0
"Pomabamba","0216",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tahuamanu","1703",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Cajatambo","1503",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daniel Alcides Carrion","1902",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Huancabamba","2003",0,0,0,0,1,10,0,2,0,1,6,3,0,1,1,0,1,0,1,0,0,1,1,1
"Contumaza","0605",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Canta","1504",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
"Satipo","1206",1,0,0,1,4,2,1,2,2,1,0,0,1,3,1,0,0,1,0,2,0,4,3,1
"La Mar","0505",0,0,1,0,0,1,0,5,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
"Ocros","0214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tarata","2304",1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
"Candarave","2302",0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Marañon","1007",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cutervo","0606",0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"Ferreñafe","1402",0,0,0,0,0,0,0,0,0,0,0,1,5,10,2,1,0,0,0,0,0,0,1,0
"Bagua","0102",0,0,5,1,2,1,4,0,14,23,2,0,1,1,0,0,0,0,1,1,0,2,0,0
"Otuzco","1306",1,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,1,0,1,1,0
"Purus","2504",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Hualgayoc","0607",0,1,0,0,0,1,2,1,0,4,0,3,9,7,0,1,2,0,0,0,0,0,0,0
"Sucre","0509",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Loreto","1603",0,1,0,1,3,0,1,5,5,4,3,1,2,1,7,18,17,0,1,8,3,8,7,2
"Canas","0805",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Viru","1312",0,0,1,1,1,1,0,1,2,0,3,0,2,0,1,0,0,0,1,2,6,3,5,6
"Grau","0307",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0
"Chumbivilcas","0807",0,0,1,0,1,0,0,0,0,12,0,0,5,0,0,0,4,0,3,25,3,33,23,8
"Luya","0105",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Junin","1205",0,0,0,1,0,1,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,1,5,1
"Manu","1702",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
"Putumayo","1608",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"Paucartambo","0811",0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Moho","2109",0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Ayabaca","2002",0,0,0,0,1,5,0,6,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,2
"Cotabambas","0305",0,0,0,0,1,4,0,1,0,0,0,4,0,1,0,8,19,11,0,13,1,24,39,1
"Huacaybamba","1004",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Santa Cruz","0613",0,0,0,0,6,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Cangallo","0502",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Huanca Sancos","0503",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chincheros","0306",0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,3,1,0,1,0,0,0,4,7
"Yunguyo","2113",0,0,0,0,0,1,0,0,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,5
"Sanchez Carrion","1309",0,0,0,0,0,0,1,0,3,6,0,0,0,1,0,0,0,0,0,0,0,0,1,1
"Parinacochas","0507",0,0,0,0,0,0,1,0,0,1,0,2,0,1,1,0,0,0,0,0,0,6,2,0
"San Antonio De Putina","2110",0,0,0,0,0,0,0,1,0,4,0,1,0,3,0,0,0,0,0,0,0,0,1,1
"Concepcion","1202",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0
"Calca","0804",0,0,0,0,0,0,0,1,1,3,0,0,0,0,2,1,0,0,0,0,0,0,2,4
"Celendin","0603",0,0,0,0,0,0,0,0,1,0,0,18,8,4,1,0,1,0,0,0,0,0,0,0
